x,y,alpha,err
5.0000000000000000e+00,2.8000000000000000e+01,9.3632609481432039e-01,0.0000000000000000e+00
5.0000000000000000e+00,2.9000000000000000e+01,9.3826403423211979e-01,1.1102230246251565e-16
5.0000000000000000e+00,3.0000000000000000e+01,9.4008914529077958e-01,0.0000000000000000e+00
5.0000000000000000e+00,3.1000000000000000e+01,9.4181085295151334e-01,0.0000000000000000e+00
5.0000000000000000e+00,3.2000000000000000e+01,9.4343757861240174e-01,1.1102230246251565e-16
5.0000000000000000e+00,3.3000000000000000e+01,9.4497686764112943e-01,0.0000000000000000e+00
5.0000000000000000e+00,3.4000000000000000e+01,9.4643549838394869e-01,0.0000000000000000e+00
5.0000000000000000e+00,3.5000000000000000e+01,9.4781957562810093e-01,1.1102230246251565e-16
5.0000000000000000e+00,3.6000000000000000e+01,9.4913461097996221e-01,0.0000000000000000e+00
5.0000000000000000e+00,3.7000000000000000e+01,9.5038559219935526e-01,1.1102230246251565e-16
5.0000000000000000e+00,3.8000000000000000e+01,9.5157704318482994e-01,1.1102230246251565e-16
5.0000000000000000e+00,3.9000000000000000e+01,9.5271307602119371e-01,1.1102230246251565e-16
5.0000000000000000e+00,4.0000000000000000e+01,9.5379743626763869e-01,1.1102230246251565e-16
5.0000000000000000e+00,4.1000000000000000e+01,9.5483354247305985e-01,1.1102230246251565e-16
5.0000000000000000e+00,4.2000000000000000e+01,9.5582452074693580e-01,0.0000000000000000e+00
5.0000000000000000e+00,4.3000000000000000e+01,9.5677323508328771e-01,0.0000000000000000e+00
5.0000000000000000e+00,4.4000000000000000e+01,9.5768231402670767e-01,1.1102230246251565e-16
5.0000000000000000e+00,4.5000000000000000e+01,9.5855417417922029e-01,1.1102230246251565e-16
5.0000000000000000e+00,4.6000000000000000e+01,9.5939104097151173e-01,0.0000000000000000e+00
5.0000000000000000e+00,4.7000000000000000e+01,9.6019496705916996e-01,1.1102230246251565e-16
5.0000000000000000e+00,4.8000000000000000e+01,9.6096784865185647e-01,0.0000000000000000e+00
5.0000000000000000e+00,4.9000000000000000e+01,9.6171144003901210e-01,1.1102230246251565e-16
5.0000000000000000e+00,5.0000000000000000e+01,9.6242736653834293e-01,0.0000000000000000e+00
5.0000000000000000e+00,5.1000000000000000e+01,9.6311713606176819e-01,0.0000000000000000e+00
5.0000000000000000e+00,5.2000000000000000e+01,9.6378214946675667e-01,1.1102230246251565e-16
5.0000000000000000e+00,5.3000000000000000e+01,9.6442370983825920e-01,0.0000000000000000e+00
5.0000000000000000e+00,5.4000000000000000e+01,9.6504303082708787e-01,0.0000000000000000e+00
5.0000000000000000e+00,5.5000000000000000e+01,9.6564124415407104e-01,0.0000000000000000e+00
5.0000000000000000e+00,5.6000000000000000e+01,9.6621940637516912e-01,1.1102230246251565e-16
5.0000000000000000e+00,5.7000000000000000e+01,9.6677850499060669e-01,0.0000000000000000e+00
5.0000000000000000e+00,5.8000000000000000e+01,9.6731946397064006e-01,1.1102230246251565e-16
5.0000000000000000e+00,5.9000000000000000e+01,9.6784314876159383e-01,0.0000000000000000e+00
